都道府県,国籍,時点,人口
三重県,その他,2024/06,2509
三重県,その他,2025/06,2622
三重県,インド,2024/06,166
三重県,インド,2025/06,240
三重県,インドネシア,2024/06,3865
三重県,インドネシア,2025/06,4914
三重県,カンボジア,2024/06,407
三重県,カンボジア,2025/06,462
三重県,スリランカ,2024/06,1500
三重県,スリランカ,2025/06,1847
三重県,タイ,2024/06,1952
三重県,タイ,2025/06,2030
三重県,ネパール,2024/06,2723
三重県,ネパール,2025/06,3256
三重県,バングラデシュ,2024/06,242
三重県,バングラデシュ,2025/06,312
三重県,パキスタン,2024/06,306
三重県,パキスタン,2025/06,373
三重県,フィリピン,2024/06,8553
三重県,フィリピン,2025/06,8920
三重県,ブラジル,2024/06,13967
三重県,ブラジル,2025/06,13941
三重県,ベトナム,2024/06,13791
三重県,ベトナム,2025/06,15224
三重県,ペルー,2024/06,3382
三重県,ペルー,2025/06,3388
三重県,ミャンマー,2024/06,1508
三重県,ミャンマー,2025/06,2005
三重県,モンゴル,2024/06,330
三重県,モンゴル,2025/06,269
三重県,中国,2024/06,6451
三重県,中国,2025/06,6615
三重県,台湾,2024/06,433
三重県,台湾,2025/06,427
三重県,米国,2024/06,334
三重県,米国,2025/06,332
三重県,総数,2024/06,66509
三重県,総数,2025/06,71154
三重県,英国,2024/06,80
三重県,英国,2025/06,83
三重県,韓国・朝鮮,2024/06,4010
三重県,韓国・朝鮮,2025/06,3894
京都府,その他,2024/06,6024
京都府,その他,2025/06,6574
京都府,インド,2024/06,634
京都府,インド,2025/06,809
京都府,インドネシア,2024/06,2704
京都府,インドネシア,2025/06,3807
京都府,カンボジア,2024/06,535
京都府,カンボジア,2025/06,632
京都府,スリランカ,2024/06,1358
京都府,スリランカ,2025/06,1871
京都府,タイ,2024/06,1031
京都府,タイ,2025/06,1055
京都府,ネパール,2024/06,4667
京都府,ネパール,2025/06,6400
京都府,バングラデシュ,2024/06,583
京都府,バングラデシュ,2025/06,765
京都府,パキスタン,2024/06,233
京都府,パキスタン,2025/06,335
京都府,フィリピン,2024/06,3119
京都府,フィリピン,2025/06,3334
京都府,ブラジル,2024/06,603
京都府,ブラジル,2025/06,628
京都府,ベトナム,2024/06,10118
京都府,ベトナム,2025/06,11443
京都府,ペルー,2024/06,182
京都府,ペルー,2025/06,183
京都府,ミャンマー,2024/06,1828
京都府,ミャンマー,2025/06,3076
京都府,モンゴル,2024/06,210
京都府,モンゴル,2025/06,226
京都府,中国,2024/06,18954
京都府,中国,2025/06,20502
京都府,台湾,2024/06,2088
京都府,台湾,2025/06,2259
京都府,米国,2024/06,1930
京都府,米国,2025/06,2046
京都府,総数,2024/06,79617
京都府,総数,2025/06,88337
京都府,英国,2024/06,637
京都府,英国,2025/06,682
京都府,韓国・朝鮮,2024/06,22179
京都府,韓国・朝鮮,2025/06,21710
佐賀県,その他,2024/06,305
佐賀県,その他,2025/06,310
佐賀県,インド,2024/06,47
佐賀県,インド,2025/06,60
佐賀県,インドネシア,2024/06,1602
佐賀県,インドネシア,2025/06,2103
佐賀県,カンボジア,2024/06,160
佐賀県,カンボジア,2025/06,164
佐賀県,スリランカ,2024/06,183
佐賀県,スリランカ,2025/06,232
佐賀県,タイ,2024/06,100
佐賀県,タイ,2025/06,110
佐賀県,ネパール,2024/06,1207
佐賀県,ネパール,2025/06,1519
佐賀県,バングラデシュ,2024/06,109
佐賀県,バングラデシュ,2025/06,138
佐賀県,パキスタン,2024/06,52
佐賀県,パキスタン,2025/06,82
佐賀県,フィリピン,2024/06,897
佐賀県,フィリピン,2025/06,936
佐賀県,ブラジル,2024/06,33
佐賀県,ブラジル,2025/06,39
佐賀県,ベトナム,2024/06,2875
佐賀県,ベトナム,2025/06,3023
佐賀県,ペルー,2024/06,2
佐賀県,ペルー,2025/06,2
佐賀県,ミャンマー,2024/06,932
佐賀県,ミャンマー,2025/06,1350
佐賀県,モンゴル,2024/06,19
佐賀県,モンゴル,2025/06,14
佐賀県,中国,2024/06,1007
佐賀県,中国,2025/06,1000
佐賀県,台湾,2024/06,52
佐賀県,台湾,2025/06,56
佐賀県,米国,2024/06,122
佐賀県,米国,2025/06,132
佐賀県,総数,2024/06,10378
佐賀県,総数,2025/06,11953
佐賀県,英国,2024/06,34
佐賀県,英国,2025/06,38
佐賀県,韓国・朝鮮,2024/06,640
佐賀県,韓国・朝鮮,2025/06,645
兵庫県,その他,2024/06,6558
兵庫県,その他,2025/06,7031
兵庫県,インド,2024/06,1706
兵庫県,インド,2025/06,1778
兵庫県,インドネシア,2024/06,4602
兵庫県,インドネシア,2025/06,6287
兵庫県,カンボジア,2024/06,771
兵庫県,カンボジア,2025/06,870
兵庫県,スリランカ,2024/06,999
兵庫県,スリランカ,2025/06,1315
兵庫県,タイ,2024/06,1414
兵庫県,タイ,2025/06,1486
兵庫県,ネパール,2024/06,7963
兵庫県,ネパール,2025/06,10439
兵庫県,バングラデシュ,2024/06,1495
兵庫県,バングラデシュ,2025/06,1979
兵庫県,パキスタン,2024/06,528
兵庫県,パキスタン,2025/06,649
兵庫県,フィリピン,2024/06,6515
兵庫県,フィリピン,2025/06,6977
兵庫県,ブラジル,2024/06,2409
